dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb,nb_deviance
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,glutamatergic neuron,0.9060744297719087,0.9617978,0.52,1.0,0.52,1.0,0.46322594004724804,40.468514633178714,45.172113037109376,11.6160813331604,396.5299865722656,14443.799,11.232766,200,0.11270152575280759
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,glutamatergic neuron,0.7102521008403362,0.85978615,0.42,1.0,0.42,0.96,0.9806010993472007,40.34336395263672,48.614248275756836,14.553903579711914,608.9210144042969,11754.47,12.030043,200,0.21349432874796018
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,oligodendrocyte,0.5817527010804322,0.5018672,0.38,1.0,0.38,0.78,0.883254256886084,32.328440475463864,33.776751327514646,7.804713344573974,148.23245239257812,6844.226,96.03638,200,0.014801077279677178
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,oligodendrocyte,0.45939975990396154,0.66595113,0.28,1.0,0.28,0.9,0.6315405231882941,35.24440078735351,35.26760063171387,8.859165382385253,210.82676391601564,6859.6753,15.918632,200,0.01010348270828044
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,astrocyte,0.8835054021608643,0.8963866,0.52,1.0,0.52,0.98,0.9173482378512653,35.834906005859374,35.2666675567627,7.877583026885986,265.42799377441406,3025.9817,9.6029415,200,0.019387649704447212
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,astrocyte,0.3176470588235294,0.50070035,0.34,0.9411764705882353,0.32,0.72,0.5774539867979819,33.29386825561524,33.867977142333984,8.204947566986084,409.5212341308594,3788.2832,116.923935,200,0.027480712684249824
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,GABAergic neuron,0.9094357743097237,0.9542023,0.56,1.0,0.56,1.0,0.6943802064700771,41.5928337097168,46.852345657348636,12.888460922241212,433.2104461669922,1411.2725,8.31226,200,0.10946119090023877
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,GABAergic neuron,0.9001200480192078,0.9259346,0.76,1.0,0.76,1.0,0.8668478260869564,39.2272762298584,43.498847579956056,9.298580360412597,452.0999389648438,794.6876,9.1273775,200,0.02612533369229227
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-pert,endothelial cell,0.9006002400960382,0.9270713,0.62,1.0,0.62,0.98,0.8030472195154178,35.8947452545166,35.892581939697266,9.162090969085693,162.02096557617188,2864.5986,20.892918,200,0.010721054084773038
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-pert,endothelial cell,0.7198559423769507,0.9943523,0.14,1.0,0.14,0.76,0.8218539792270286,34.618612670898436,34.71408920288086,8.504953956604004,243.05180969238282,3930.5193,289.09665,200,0.012194091924296444
